2400480DUS,,,issue with PoS migration
5101260DUS,,,skipped on purpose
1201440DUS,,0,
0804800DUS,,,district with cp highschools
2400510DUS,,0,
0802910DUS,,,district with cp highschools
0602820DUS,1/9/2020,241,
0619540DUS,1/9/2020,4631,
4823910DUS,1/9/2020,8,
0634620DUS,1/9/2020,4918,
4814280DUS,1/9/2020,47772,
2400420DUS,1/13/2020,23792,
0611820DUS,,,skipped on purpose
1200330DUS,,0,
3704620DUS,,,issue with PoS migration
2400330DUS,1/9/2020,18166,
1201770DUS,1/9/2020,2645,
4835100DUS,1/9/2020,10709,
0408340DUS,1/9/2020,10906,
0407570DUS,1/10/2020,23807,
3700030DUS,1/10/2020,1064,
0806900DUS,1/10/2020,42773,
4838730DUS,,0,
4816740DUS,1/10/2020,23713,Some errors to be investigated
0506120DUS,,0,
4807830DUS,1/10/2020,19647,Some errors to be investigated
5307710DUS,1/10/2020,10,
4827030DUS,1/11/2020,34214,
0613920DUS,1/11/2020,1868,
1713710DUS,1/11/2020,1,
5303960DUS,,0,
4703030DUS,,,no plans of study
5305910DUS,1/11/2020,2483,
1711370DUS,1/11/2020,6940,
5300390DUS,1/11/2020,8700,
4005490DUS,1/11/2020,8117,
5103640DUS,1/11/2020,2470,
4829850DUS,1/11/2020,11983,Some errors to be investigated
2012000DUS,1/12/2020,22694,Some errors to be investigated
2513230DUS,1/12/2020,787,Some errors to be investigated
4841220DUS,1/14/2020,3268,
5100090DUS,1/12/2020,648,
1805670DUS,,0,
4807890DUS,1/12/2020,1735,
1810650DUS,,,no plans of study
2634470DUS,1/12/2020,19223,
0613890DUS,1/12/2020,6325,
5302670DUS,1/12/2020,11298,
4501110DUS,,,no plans of study
7802505DUS,1/12/2020,401,
3904490DUS,1/12/2020,63,
4100023DUS,1/12/2020,6017,
1720610DUS,1/12/2020,3,
1804770DUS,1/12/2020,6636,Some errors to be investigated
0629610DUS,,,no plans of study
0629850DUS,1/12/2020,3599,
0512660DUS,,,no plans of study
3620490DUS,,,no plans of study
0621000DUS,,0,
0607230DUS,1/12/2020,1198,
3904610DUS,,,no plans of study
4815910DUS,1/12/2020,4308,
5303540DUS,1/12/2020,3069,
0610050DUS,1/12/2020,5566,
1812810DUS,1/12/2020,1064,Some errors to be investigated
2714220DUS,1/12/2020,1187,
0804410DUS,,0,
0604440DUS,1/12/2020,2503,
5101800DUS,1/12/2020,3946,
2614610DUS,1/14/2020,2085,
3175270DUS,1/12/2020,2923,
7803099DUS,1/12/2020,75,
0636840DUS,1/12/2020,2335,
0509000DUS,,,no plans of study
1808820DUS,,,no plans of study
0635700DUS,1/12/2020,500,Some errors to be investigated
4842960DUS,1/14/2020,2344,
4844730DUS,,,no plans of study
4015720DUS,,,no plans of study
1908220DUS,,0,
7802592DUS,1/14/2020,802,
0511850DUS,1/12/2020,972,
2918300DUS,1/12/2020,6267,
0402920DUS,1/8/2020,2657,
3619230DUS,,0,
4822530DUS,,,no plans of study
1903690DUS,1/12/2020,5525,Some errors to be investigated
0627720DUS,1/12/2020,12,
2707290DUS,1/12/2020,3254,
2400540DUS,1/12/2020,20,
1732910DUS,1/12/2020,508,
0402860DUS,1/14/2020,5105,
4816530DUS,,,no plans of study
4500900DUS,,0,
1200930DUS,,0,
5304860DUS,1/12/2020,50,
0635430DUS,1/12/2020,636,
1803270DUS,1/12/2020,2084,
1808910DUS,1/12/2020,737,
4813230DUS,,,no plans of study
0600032DUS,,,no plans of study
0503060DUS,,,no plans of study
5103390DUS,1/12/2020,5835,
0904230DUS,1/12/2020,40,
3417610DUS,,,no plans of study
1813080DUS,,,no plans of study
0900510DUS,,,no plans of study
4030240DUS,,0,
0640590DUS,1/12/2020,2084,
0903810DUS,1/12/2020,867,
2916400DUS,1/12/2020,2825,
3700450DUS,,0,
2627240DUS,,0,
1812360DUS,,,no plans of study
3404320DUS,,,no plans of study
3416080DUS,,,no plans of study
1705220DUS,,,no plans of study
0601770DUS,,0,
0622740DUS,1/12/2020,4002,
1915450DUS,1/13/2020,4022,
1706540DUS,1/13/2020,2307,
4207230DUS,,0,
1726880DUS,,,no plans of study
0511970DUS,1/13/2020,1244,
3500010DUS,1/13/2020,5225,
3904549DUS,1/13/2020,92,
1733420DUS,,0,
2912300DUS,,,no plans of study
3401260DUS,,,no plans of study
4819950DUS,1/13/2020,4918,
0635250DUS,,,no plans of study
7802652DUS,1/14/2020,18,
0806150DUS,1/13/2020,1248,
4900390DUS,1/13/2020,1610,
4700900DUS,,0,
7802651DUS,,,no plans of study
5300240DUS,1/13/2020,19,
1930930DUS,1/13/2020,5856,
0625320DUS,,,no plans of study
3625170DUS,,0,
1729890DUS,1/13/2020,738,
0503690DUS,1/13/2020,1025,
4824100DUS,1/13/2020,4304,
4111290DUS,1/13/2020,4171,
5101620DUS,1/13/2020,2249,
4900750DUS,1/13/2020,860,
3402490DUS,,,no plans of study
2733330DUS,1/13/2020,12,
4003630DUS,,0,
3905043DUS,,,no plans of study
0904590DUS,,0,
1706420DUS,,,no plans of study
2930450DUS,1/13/2020,18,
7800033DUS,1/13/2020,519,
1800630DUS,,,no plans of study
5102360DUS,,0,
1802640DUS,1/13/2020,3131,
1800150DUS,,,no plans of study
4702190DUS,1/13/2020,1832,
1743960DUS,,0,
1725320DUS,1/13/2020,2032,
2504320DUS,1/13/2020,387,
4110520DUS,,,no plans of study
4831760DUS,,,no plans of study
1928680DUS,1/13/2020,2016,
0904680DUS,,,no plans of study
2009180DUS,1/13/2020,1772,
0642140DUS,,0,
0903750DUS,,0,
0904560DUS,,,no plans of study
2605850DUS,,0,
4702700DUS,,0,
3904800DUS,,,no plans of study
3605460DUS,,,no plans of study
1907860DUS,1/13/2020,2898,
0806810DUS,1/13/2020,461,
0903030DUS,,,no plans of study
1811970DUS,,,no plans of study
4826190DUS,1/13/2020,3508,
2923700DUS,1/13/2020,2,
4225590DUS,,0,
2923430DUS,1/13/2020,4168,
2102040DUS,,,district with cp highschools
2922530DUS,1/13/2020,3884,
5309100DUS,,0,
2009390DUS,1/13/2020,1450,
2003200DUS,1/14/2020,3322,
0803330DUS,1/14/2020,873,
3904700DUS,,,no plans of study
4838220DUS,,,no plans of study
0602670DUS,,0,
5101860DUS,1/14/2020,44,
1805790DUS,,,no plans of study
0639630DUS,,,no plans of study
2635910DUS,,,no plans of study
7802622DUS,1/14/2020,21,
4830060DUS,,0,
0900060DUS,,,no plans of study
1805400DUS,,,no plans of study
0902070DUS,,,skipped on purpose
2618840DUS,,,no plans of study
4223760DUS,1/14/2020,5,
2500002DUS,,,no plans of study
1807140DUS,1/14/2020,663,
1806600DUS,1/14/2020,358,
1713320DUS,,,no plans of study
1742310DUS,,,no plans of study
4808310DUS,1/14/2020,1,
3406390DUS,,0,
0619650DUS,1/14/2020,1489,
2314670DUS,,,no plans of study
2923730DUS,,,no plans of study
3704950DUS,,,no plans of study
4500810DUS,,,no plans of study
4113530DUS,,,no plans of study
3904364DUS,,,no plans of study
2616380DUS,,,no plans of study
0634740DUS,,,no plans of study
3501890DUS,,0,
3904909DUS,,0,
7803289DUS,,0,
1810140DUS,,0,
2636660DUS,,,no plans of study
2624150DUS,,,no plans of study
7800774DUS,,0,
5307770DUS,,0,
5103460DUS,,,skipped on purpose
3412810DUS,,,no plans of study
1808220DUS,1/14/2020,317,
1804710DUS,,,no plans of study
2400300DUS,,0,
5301140DUS,,,no plans of study
5101380DUS,1/14/2020,2419,
2926220DUS,,,no plans of study
4832310DUS,1/14/2020,1946,
1802400DUS,,,no plans of study
2512060DUS,,,no plans of study
3414550DUS,,,no plans of study
1905790DUS,1/14/2020,921,
7802727DUS,,0,
3904507DUS,,,no plans of study
5600730DUS,1/14/2020,380,
1812240DUS,,,no plans of study
2618930DUS,,,no plans of study
2619830DUS,,,no plans of study
3904719DUS,1/14/2020,1,
5103690DUS,,,no plans of study
0513410DUS,,,no plans of study
1805580DUS,,,no plans of study
1806030DUS,,,no plans of study
4830120DUS,1/14/2020,1,
1807860DUS,,,no plans of study
4813170DUS,,,no plans of study
3624000DUS,,,no plans of study
3704080DUS,,,no plans of study
4839630DUS,1/14/2020,538,
3904675DUS,,,no plans of study
1806510DUS,1/14/2020,3,
2509450DUS,1/14/2020,1067,
7802673DUS,1/14/2020,2,
3415390DUS,1/14/2020,460,
0508610DUS,1/14/2020,669,
4400360DUS,1/14/2020,30,
1800840DUS,,,no plans of study
1802970DUS,,,no plans of study
0804830DUS,,,no plans of study
0513110DUS,1/14/2020,1,
1304170DUS,,,no plans of study
1908520DUS,1/14/2020,1144,
2926160DUS,1/14/2020,1249,
1700110DUS,,,no plans of study
1803960DUS,,,no plans of study
5300030DUS,1/14/2020,901,
4821060DUS,,,no plans of study
1804350DUS,1/14/2020,559,
1800420DUS,,0,
2803060DUS,1/14/2020,3,
0500019DUS,,,no plans of study
4820500DUS,1/14/2020,132,
0804920DUS,,0,
0604110DUS,,,no plans of study
4401020DUS,,,no plans of study
2617400DUS,,,no plans of study
3623520DUS,,,no plans of study
1812150DUS,1/14/2020,3,
2618420DUS,,,no plans of study
0628950DUS,1/14/2020,404,
1812900DUS,,,no plans of study
0621870DUS,,,no plans of study
1803700DUS,,,no plans of study
2617970DUS,,,no plans of study
1807230DUS,,,no plans of study
0510440DUS,,,no plans of study
4209570DUS,,0,
1805520DUS,1/14/2020,1,
2610830DUS,1/8/2020,0,
2632550DUS,,,no plans of study
1805190DUS,,,no plans of study
4702400DUS,1/14/2020,1,
2602550DUS,,0,
1809480DUS,,,district with cp highschools
4819080DUS,,,no plans of study
0802070DUS,1/14/2020,1,
4838580DUS,,,no plans of study
1800240DUS,,,no plans of study
7803371DUS,1/14/2020,2,
3904413DUS,,,no plans of study
3305880DUS,1/14/2020,198,
4835310DUS,1/14/2020,174,
1800960DUS,,,no plans of study
1807900DUS,,0,
2930570DUS,,0,
2926890DUS,1/14/2020,1,
2927570DUS,,0,
4843890DUS,,,no plans of study
0503030DUS,,,no plans of study
0504380DUS,,0,
0507890DUS,,,no plans of study
0607020DUS,1/12/2020,300,
0506090DUS,,,no plans of study
7803444DUS,,,no plans of study
0804470DUS,,0,
1802610DUS,,,no plans of study
0506840DUS,,0,
1808340DUS,,,no plans of study
4824210DUS,,,no plans of study
1810590DUS,,,no plans of study
7800406DUS,1/14/2020,49,
7803423DUS,,0,
3403900DUS,,0,
4831170DUS,,,no plans of study
7802570DUS,,,no plans of study
0503150DUS,,,no plans of study
0500049DUS,,0,
7802573DUS,,,no plans of study
0500042DUS,,,no plans of study
7802291DUS,,,no plans of study
4836450DUS,,,no plans of study
0624750DUS,,,no plans of study
1803120DUS,,,no plans of study
0509060DUS,,,no plans of study
0502790DUS,,,no plans of study
7803383DUS,,,no plans of study
4833360DUS,,,no plans of study
4006060DUS,,0,
1813110DUS,,,no plans of study
0691035DUS,,,no plans of study
2930520DUS,,,no plans of study
1808280DUS,1/14/2020,62,
0507560DUS,,,no plans of study
7803438DUS,,,no plans of study
0500028DUS,,,no plans of study
7803095DUS,,,issue with PoS migration
0502580DUS,,0,
1807620DUS,1/14/2020,85,
0503320DUS,,,no plans of study
7803369DUS,,,no plans of study
1807110DUS,,,no plans of study
1813050DUS,,,no plans of study
1807710DUS,,,no plans of study
0500045DUS,,,no plans of study
0504080DUS,,,no plans of study
2600114DUS,,,no plans of study
2630960DUS,,,no plans of study
1800330DUS,,,no plans of study
0504050DUS,,,no plans of study
4838400DUS,,,no plans of study
0508640DUS,,,no plans of study
1801410DUS,,,no plans of study
0505970DUS,1/14/2020,140,
0507920DUS,,,no plans of study
1806060DUS,,,no plans of study
1811250DUS,,,no plans of study
4843950DUS,,,no plans of study
1801055DUS,,,no plans of study
0510260DUS,,,no plans of study
0503090DUS,,,no plans of study
0507170DUS,,,no plans of study
7803414DUS,,,no plans of study
0508940DUS,,,no plans of study
0511070DUS,,,no plans of study
1810350DUS,,,no plans of study
0510950DUS,,,no plans of study
0512520DUS,,,no plans of study
4828550DUS,1/14/2020,2,
3500540DUS,,0,
0503300DUS,,,no plans of study
7802605DUS,1/14/2020,9,
0505550DUS,,,no plans of study
0509780DUS,,,no plans of study
0510290DUS,,,no plans of study
0505170DUS,,,no plans of study
7800398DUS,,,no plans of study
7802533DUS,1/14/2020,43,
0512510DUS,,,no plans of study
0500035DUS,,,no plans of study
7803362DUS,1/14/2020,5,
0500048DUS,,,no plans of study
7803465DUS,,,no plans of study
1808760DUS,,,no plans of study
7803266DUS,1/14/2020,15,
7803462DUS,,,no plans of study
7803382DUS,,0,
7803403DUS,,0,
0503710DUS,,,no plans of study
7803379DUS,,,no plans of study
7803341DUS,,,no plans of study
7803437DUS,,,no plans of study
0514010DUS,,,no plans of study
1812180DUS,,,no plans of study
0400052DUS,,0,
0503630DUS,,,no plans of study
0505850DUS,,,no plans of study
0508490DUS,,,no plans of study
4823640DUS,1/14/2020,5726,Some errors to be investigated
7800041DUS,1/14/2020,6,
7803269DUS,,,no plans of study
7802511DUS,,,no plans of study
7800043DUS,1/14/2020,72,
7800042DUS,1/14/2020,4,
